Adsorbate 1,Adsorbate 2,Gco DFT,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Averaged Gco
I,CH,,0.223341286,0.165670604,0.189554662,0.209576011,0.221425623,0.201913637
I,CH2,,0.205438629,0.189783916,0.2259399,0.196731567,0.218349069,0.207248616
I,CH3,,0.271223426,0.238960654,0.197649062,0.241642162,0.222478583,0.234390777
I,S,,0.152828991,0.212670386,0.204712018,0.185124815,0.269159764,0.204899195
I,SH,,0.261202723,0.244147703,0.264301926,0.249833524,0.295250267,0.262947229
I,SH2,,0.262081325,0.24223043,0.221270025,0.236264348,0.229922667,0.238353759
I,F,,0.316360027,0.298597991,0.306168467,0.347352326,0.334893525,0.320674467
I,Cl,,0.361768752,0.371756732,0.357323289,0.364659578,0.354339242,0.361969519
I,Br,,0.239019409,0.264101744,0.288063258,0.296486974,0.313405097,0.280215296
I,I,,0.243008688,0.248425126,0.241556615,0.24892877,0.216931269,0.239770094
